LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
DuPage,0,#N/A,Illinois,95,16,0,,DuPage Illinois,17043,916924,1880
Unassigned,2,#N/A,Illinois,63,61,0,,Unassigned Illinois,#N/A,#N/A,#N/A
Will,0,#N/A,Illinois,24,3,1,,Will Illinois,17197,677560,917
Kane,0,#N/A,Illinois,18,5,0,,Kane Illinois,17089,515269,1101
McHenry,0,#N/A,Illinois,12,,0,,McHenry Illinois,17111,308760,343
McLean,0,#N/A,Illinois,7,1,1,,McLean Illinois,17113,169572,200
Winnebago,0,#N/A,Illinois,5,1,0,,Winnebago Illinois,17201,295266,907
Kendall,0,#N/A,Illinois,4,,0,,Kendall Illinois,17093,114736,0
St. Clair,0,#N/A,Illinois,4,1,0,,St. Clair Illinois,17163,270056,818
Sangamon,0,#N/A,Illinois,4,,1,,Sangamon Illinois,17167,197465,1045
Peoria,0,#N/A,Illinois,3,,0,,Peoria Illinois,17143,186494,1122
Kankakee,0,#N/A,Illinois,3,1,0,,Kankakee Illinois,17091,113449,468
Clinton,0,#N/A,Illinois,3,,0,,Clinton Illinois,17027,37762,0
Champaign,0,#N/A,Illinois,3,,0,,Champaign Illinois,17019,201081,549
Madison,0,#N/A,Illinois,2,,0,,Madison Illinois,17119,269282,943
LaSalle,0,#N/A,Illinois,2,1,0,,LaSalle Illinois,17099,113924,244
Woodford,0,#N/A,Illinois,2,,0,,Woodford Illinois,17203,38664,18
Monroe,0,#N/A,Illinois,1,1,0,,Monroe Illinois,17133,32957,0
Washington,0,#N/A,Illinois,1,,0,,Washington Illinois,17189,14716,0
Adams,0,#N/A,Illinois,1,,0,,Adams Illinois,17001,67103,335
Whiteside,0,#N/A,Illinois,1,,0,,Whiteside Illinois,17195,58498,135
Christian,0,#N/A,Illinois,1,,0,,Christian Illinois,17021,34800,67
Williamson,0,#N/A,Illinois,1,,0,,Williamson Illinois,17199,66357,431
DeKalb,0,#N/A,Illinois,1,,0,,DeKalb Illinois,17037,105160,191
Cumberland,0,#N/A,Illinois,1,,0,,Cumberland Illinois,17035,11048,0
Jo Daviess,0,#N/A,Illinois,1,,0,,Jo Daviess Illinois,17085,22678,25
Stephenson,0,#N/A,Illinois,1,,0,,Stephenson Illinois,17177,47711,100
Livingston,0,#N/A,Illinois,1,,0,,Livingston Illinois,17105,38950,42
Rock Island,0,#N/A,Illinois,1,,0,,Rock Island Illinois,17161,147546,444
Jackson,0,#N/A,Illinois,1,,0,,Jackson Illinois,17077,60218,184
category Florida,1,#N/A,Florida,1227,223,18,4,category Florida Florida,#N/A,#N/A,#N/A
Miami-Dade,0,#N/A,Florida,278,51,0,,Miami-Dade Florida,12086,2496435,9965
Broward,0,#N/A,Florida,263,46,3,,Broward Florida,12011,1748066,6715
Palm Beach,0,#N/A,Florida,89,17,3,2,Palm Beach Florida,12099,1320134,4993
Hillsborough,0,#N/A,Florida,75,17,0,,Hillsborough Florida,12057,1229226,4857
Duval,0,#N/A,Florida,50,11,1,,Duval Florida,12031,864263,4071
Orange,0,#N/A,Florida,48,15,2,,Orange Florida,12095,1145956,4751
Pinellas,0,#N/A,Florida,41,3,0,,Pinellas Florida,12103,916542,4119
Collier,0,#N/A,Florida,39,6,0,,Collier Florida,12021,321520,1051
Alachua,0,#N/A,Florida,36,1,0,,Alachua Florida,12001,247336,1765
Lee,0,#N/A,Florida,30,4,2,,Lee Florida,12071,618754,2240
Osceola,0,#N/A,Florida,25,1,0,,Osceola Florida,12097,268685,997
Seminole,0,#N/A,Florida,22,3,0,,Seminole Florida,12117,422718,965
Sarasota,0,#N/A,Florida,21,4,0,,Sarasota Florida,12115,379448,1618
St. Johns,0,#N/A,Florida,18,2,0,,St. Johns Florida,12109,190039,335
Volusia,0,#N/A,Florida,16,2,0,,Volusia Florida,12127,494593,2042
Manatee,0,#N/A,Florida,15,2,1,,Manatee Florida,12081,322833,806
Pasco,0,#N/A,Florida,14,3,1,,Pasco Florida,12101,464697,1440
Okaloosa,0,#N/A,Florida,14,,0,,Okaloosa Florida,12091,180822,673
Polk,0,#N/A,Florida,13,2,0,,Polk Florida,12105,602095,1793
Indian River,0,#N/A,Florida,10,2,0,,Indian River Florida,12061,138028,612
Walton,0,#N/A,Florida,9,5,0,,Walton Florida,12131,55043,108
Lake,0,#N/A,Florida,9,3,0,,Lake Florida,12069,297052,897
Escambia,0,#N/A,Florida,9,5,0,,Escambia Florida,12033,297619,1276
Citrus,0,#N/A,Florida,9,1,0,,Citrus Florida,12017,141236,332
Clay,0,#N/A,Florida,8,1,2,1,Clay Florida,12019,190865,416
Sumter,0,#N/A,Florida,8,3,0,,Sumter Florida,12119,93420,339
Brevard,0,#N/A,Florida,7,,0,,Brevard Florida,12009,543376,1768
Leon,0,#N/A,Florida,6,1,1,,Leon Florida,12073,275487,1208
St. Lucie,0,#N/A,Florida,5,2,0,,St. Lucie Florida,12111,277789,836
Hernando,0,#N/A,Florida,5,,0,,Hernando Florida,12053,172778,620
Martin,0,#N/A,Florida,4,2,0,,Martin Florida,12085,146318,558
Marion,0,#N/A,Florida,4,1,0,,Marion Florida,12083,331298,919
Santa Rosa,0,#N/A,Florida,4,1,1,,Santa Rosa Florida,12113,151372,385
Baker,0,#N/A,Florida,3,1,0,,Baker Florida,12003,27115,1163
Flagler,0,#N/A,Florida,3,2,0,,Flagler Florida,12035,95696,99
Charlotte,0,#N/A,Florida,3,1,0,,Charlotte Florida,12015,159978,823
Putnam,0,#N/A,Florida,2,,0,,Putnam Florida,12107,74364,99
Monroe,0,#N/A,Florida,2,1,0,,Monroe Florida,12087,73090,148
Highlands,0,#N/A,Florida,2,1,0,,Highlands Florida,12055,98786,323
Columbia,0,#N/A,Florida,2,,0,,Columbia Florida,12023,67531,346
Bay,0,#N/A,Florida,1,,0,,Bay Florida,12005,168852,752
Nassau,0,#N/A,Florida,1,,0,,Nassau Florida,12089,73314,54
Gadsden,0,#N/A,Florida,1,,0,,Gadsden Florida,12039,46389,1253
Bradford,0,#N/A,Florida,1,,0,,Bradford Florida,12007,28520,25
Desoto,0,#N/A,Florida,1,,0,,Desoto Florida,12027,34862,49
Jackson,0,#N/A,Florida,1,,0,,Jackson Florida,12063,49746,87
Unassigned,2,#N/A,Florida,0,,1,1,Unassigned Florida,#N/A,#N/A,#N/A
category Louisiana,1,#N/A,Louisiana,1172,335,35,16,category Louisiana Louisiana,#N/A,#N/A,#N/A
Orleans,0,#N/A,Louisiana,567,116,20,5,Orleans Louisiana,22071,343829,1647
Jefferson,0,#N/A,Louisiana,252,68,5,2,Jefferson Louisiana,22051,432552,1628
St. Tammany,0,#N/A,Louisiana,47,22,0,,St. Tammany Louisiana,22103,233740,946
East Baton Rouge,0,#N/A,Louisiana,43,23,2,2,East Baton Rouge Louisiana,22033,440171,2055
Caddo,0,#N/A,Louisiana,34,18,0,,Caddo Louisiana,22017,254969,2026
Ascension,0,#N/A,Louisiana,26,9,1,1,Ascension Louisiana,22005,107215,83
St. John the Baptist,0,#N/A,Louisiana,16,6,0,,St. John the Baptist Louisiana,22095,45924,0
